title;url;price;km;year;cubicCapacity;mainProvince;fuelType;bodyTypeId;warranty_id;warranty_months;isProfessional;publishedDate;hasUrge;phone;environmentalLabel;drivenWheelsId;transmissionTypeId
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-almeria-56563628-covo.aspx;21000;50000;2020;1984;Almería;Gasolina;1;None;None;False;2024-03-16T12:50:57Z;False;671707540;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-almeria-56563628-covo.aspx;21000;50000;2020;1984;Almería;Gasolina;1;None;None;False;2024-03-16T12:50:57Z;False;671707540;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-granada-57428165-covo.aspx;21889;48271;2020;1984;Granada;Gasolina;1;2;12;True;2024-03-21T19:46:01Z;False;919035657;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-granada-57428165-covo.aspx;21889;48271;2020;1984;Granada;Gasolina;1;2;12;True;2024-03-21T19:46:01Z;False;919035657;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-alicante-57153652-covo.aspx;21900;42000;2020;1984;Alicante;Gasolina;1;2;12;True;2024-03-05T18:28:42Z;False;696356036;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-alicante-57153652-covo.aspx;21900;42000;2020;1984;Alicante;Gasolina;1;2;12;True;2024-03-05T18:28:42Z;False;696356036;C;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57278782-covo.aspx;22690;34000;2020;1984;Madrid;Gasolina;1;2;12;True;2024-03-18T19:50:14Z;False;627005959;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG 5p.;/volkswagen-polo-gti-20-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57278782-covo.aspx;22690;34000;2020;1984;Madrid;Gasolina;1;2;12;True;2024-03-18T19:50:14Z;False;627005959;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57379352-covo.aspx;22900;49900;2020;1984;Madrid;Gasolina;1;2;12;True;2024-03-20T17:01:38Z;False;616536596;None;3;1
VOLKSWAGEN Polo GTI 2.0 TSI 147kW 200CV DSG;/volkswagen-polo-gti-2.0-tsi-147kw-200cv-dsg-5p-gasolina-2020-en-madrid-57379352-covo.aspx;22900;49900;2020;1984;Madrid;Gasolina;1;2;12;True;2024-03-20T17:01:38Z;False;616536596;None;3;1
